SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,27,-111.41,4.7212,0.3900
1,22,-109.36,4.7244,0.1548
1,14,-111.27,4.7224,0.1666
1,30,-106.59,4.7218,0.1748
1,17,-111.10,4.7230,0.1670
1,34,-106.63,4.7223,0.1748
1,18,-107.67,4.7224,0.1749
1,24,-110.86,4.7233,0.1672
1,48,-111.82,4.7232,0.1670
1,13,-111.24,4.7233,0.1672
1,42,-111.79,4.7233,0.3892
1,23,-107.56,4.7230,0.1663
1,19,-110.36,4.7249,0.1552
1,50,-111.31,4.7240,0.1670
1,33,-109.75,4.7271,0.1550
1,3,-109.72,4.7243,0.1680
1,43,-111.18,4.7246,0.1669
1,35,-111.18,4.7246,0.1669
1,25,-111.49,4.7247,0.1668
1,9,-109.90,4.7282,0.1546
1,15,-110.49,4.7249,0.1673
1,32,-108.77,4.7246,0.1682
1,31,-107.69,4.7243,0.1750
1,39,-110.68,4.7252,0.1674
1,49,-110.95,4.7253,0.1674
1,29,-110.80,4.7253,0.1674
1,44,-110.72,4.7254,0.1674
1,41,-109.85,4.7252,0.1679
1,12,-109.47,4.7286,0.1547
1,40,-107.52,4.7250,0.1685
1,6,-110.89,4.7254,0.1674
1,26,-109.41,4.7252,0.1681
1,46,-110.75,4.7255,0.1674
1,11,-110.92,4.7256,0.1673
1,21,-110.48,4.7261,0.1668
1,28,-110.62,4.7259,0.1673
1,8,-110.77,4.7272,0.1551
1,47,-110.69,4.7262,0.1673
1,10,-109.74,4.7296,0.1546
1,5,-110.02,4.7266,0.1672
1,37,-109.34,4.7262,0.1664
1,16,-107.50,4.7264,0.1689
1,38,-109.67,4.7299,0.1549
1,45,-110.15,4.7269,0.1673
1,36,-109.84,4.7306,0.1547
1,7,-110.15,4.7281,0.1573
1,4,-110.51,4.7284,0.1574
1,2,-109.20,4.7275,0.1693
1,20,-110.59,4.7296,0.1573
1,1,-110.05,4.7304,0.1672
2,27,-113.15,4.7221,0.3696
2,22,-109.90,4.7226,0.3706
2,14,-112.78,4.7229,0.3699
2,30,-114.70,4.7228,0.3688
2,17,-113.68,4.7238,0.3698
2,34,-114.62,4.7232,0.3688
2,18,-114.56,4.7234,0.3789
2,24,-112.67,4.7242,0.3695
2,48,-112.18,4.7241,0.1782
2,13,-112.71,4.7243,0.3694
2,42,-111.85,4.7242,0.1780
2,23,-112.90,4.7240,0.3691
2,19,-111.94,4.7253,0.1911
2,50,-113.65,4.7248,0.3698
2,33,-110.86,4.7253,0.3702
2,3,-112.00,4.7253,0.1775
2,43,-112.00,4.7255,0.1780
2,35,-111.84,4.7256,0.1780
2,25,-112.28,4.7257,0.1779
2,9,-110.13,4.7263,0.3706
2,15,-112.43,4.7259,0.1863
2,32,-112.77,4.7256,0.1772
2,31,-114.67,4.7253,0.3786
2,39,-112.19,4.7261,0.1863
2,49,-112.01,4.7262,0.1863
2,29,-112.42,4.7262,0.1863
2,44,-112.28,4.7263,0.1781
2,41,-112.19,4.7262,0.3693
2,12,-109.60,4.7268,0.3704
2,40,-113.20,4.7260,0.3689
2,6,-112.39,4.7264,0.1863
2,26,-112.77,4.7261,0.3692
2,46,-112.32,4.7264,0.1780
2,11,-112.41,4.7265,0.1863
2,21,-113.36,4.7269,0.3697
2,28,-112.30,4.7269,0.1863
2,8,-111.46,4.7276,0.3708
2,47,-112.32,4.7271,0.1863
2,10,-109.88,4.7278,0.3705
2,5,-112.52,4.7275,0.1863
2,37,-112.73,4.7272,0.3692
