SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,48,-104.89,4.0450,0.2021
1,25,-103.86,4.0466,0.1684
1,45,-104.52,4.0471,0.1824
1,38,-105.40,4.0498,0.1677
1,16,-104.73,4.0482,0.1827
1,34,-104.78,4.0481,0.2026
1,44,-110.69,4.0496,0.2170
1,5,-103.23,4.0478,0.1693
1,31,-103.29,4.0480,0.1693
1,32,-104.72,4.0489,0.1827
1,4,-104.52,4.0490,0.1826
1,14,-104.35,4.0489,0.2315
1,21,-106.96,4.0495,0.2185
1,22,-110.40,4.0497,0.2180
1,8,-104.34,4.0493,0.1751
1,18,-105.48,4.0502,0.1687
1,35,-104.55,4.0495,0.1826
1,37,-105.20,4.0514,0.2006
1,1,-104.42,4.0496,0.2020
1,28,-105.23,4.0499,0.1829
1,11,-104.43,4.0497,0.1752
1,3,-104.53,4.0499,0.1827
1,19,-111.17,4.0505,0.2178
1,20,-104.52,4.0500,0.1826
1,49,-104.42,4.0500,0.1753
1,46,-104.46,4.0500,0.1414
1,6,-104.66,4.0499,0.2023
1,24,-104.48,4.0503,0.1753
1,10,-105.47,4.0504,0.1829
1,43,-105.79,4.0505,0.1830
1,47,-104.43,4.0503,0.1826
1,9,-108.41,4.0507,0.2183
1,15,-104.74,4.0501,0.2024
1,50,-105.37,4.0511,0.1686
1,36,-106.00,4.0506,0.1830
1,12,-106.62,4.0507,0.2186
1,26,-105.49,4.0505,0.1829
1,29,-104.55,4.0505,0.1827
1,30,-103.71,4.0498,0.1694
1,42,-104.27,4.0505,0.1696
1,7,-106.06,4.0514,0.2188
1,2,-104.59,4.0511,0.1414
1,17,-105.45,4.0523,0.2017
1,33,-110.71,4.0530,0.2168
1,39,-105.20,4.0529,0.2018
1,23,-104.79,4.0804,0.1135
1,40,-104.54,4.0528,0.1414
1,27,-105.37,4.0532,0.2129
1,41,-107.97,4.0535,0.2184
1,13,-104.58,4.0531,0.1693
2,48,-104.91,4.0490,0.2478
2,25,-104.57,4.0527,0.2471
2,45,-106.96,4.0511,0.2481
2,38,-106.57,4.0517,0.2490
2,16,-104.28,4.0521,0.1932
2,34,-106.83,4.0521,0.2483
2,44,-103.05,4.0720,0.1722
2,5,-104.53,4.0524,0.2505
2,31,-104.55,4.0526,0.2505
2,32,-104.23,4.0529,0.1931
2,4,-104.55,4.0529,0.1933
2,14,-105.00,4.0529,0.2476
2,21,-104.32,4.0724,0.1731
2,22,-102.73,4.0726,0.1728
2,8,-104.67,4.0533,0.1934
2,18,-106.09,4.0563,0.2456
2,35,-104.33,4.0534,0.1931
2,37,-106.63,4.0532,0.2484
2,1,-104.78,4.0536,0.1934
2,28,-105.43,4.0538,0.1926
2,11,-104.56,4.0537,0.1934
2,3,-104.80,4.0539,0.1929
2,19,-102.67,4.0733,0.1725
2,20,-104.44,4.0539,0.1931
2,49,-104.35,4.0540,0.1931
2,46,-104.84,4.0540,0.1935
2,6,-105.70,4.0539,0.1937
2,24,-104.47,4.0542,0.1931
2,10,-105.63,4.0544,0.1926
2,43,-105.67,4.0544,0.1924
2,47,-104.70,4.0543,0.1930
2,9,-104.16,4.0736,0.1730
2,50,-106.01,4.0571,0.2456
2,15,-105.68,4.0541,0.1938
2,36,-105.68,4.0546,0.1923
2,26,-105.64,4.0545,0.1926
2,12,-105.50,4.0546,0.1921
2,29,-105.04,4.0545,0.1928
2,30,-105.45,4.0570,0.2470
2,42,-105.35,4.0578,0.2462
2,7,-106.44,4.0553,0.1925
2,2,-104.54,4.0551,0.1934
2,17,-105.69,4.0584,0.2453
2,33,-102.86,4.0754,0.1719
2,39,-105.07,4.0589,0.2453
2,23,-104.14,4.0565,0.1933
2,40,-104.29,4.0568,0.1932
2,27,-106.75,4.0571,0.1927
2,41,-106.90,4.0575,0.1921
2,13,-106.99,4.0577,0.2495
3,48,-102.86,4.0377,0.2476
3,25,-106.39,4.0384,0.2396
3,45,-102.64,4.0400,0.2478
3,38,-102.20,4.0406,0.2486
3,16,-103.56,4.0408,0.2472
3,34,-102.53,4.0411,0.2479
3,44,-102.57,4.0419,0.2568
3,5,-105.40,4.0952,0.1858
3,31,-105.42,4.0954,0.1858
3,32,-103.56,4.0416,0.2470
