SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,48,-93.43,2.7497,0.0074
1,25,-91.94,2.7526,0.0081
1,45,-91.90,2.7521,0.0148
1,38,-89.39,2.7531,0.0090
1,16,-93.14,2.7527,0.0153
1,34,-91.64,2.7533,0.0146
1,44,-90.48,2.6751,0.1138
1,5,-98.10,2.7554,0.2399
1,31,-97.93,2.7556,0.0096
1,32,-93.05,2.7546,0.0141
1,4,-93.24,2.7536,0.0152
1,14,-93.31,2.7537,0.2233
1,21,-92.44,2.7531,0.0364
1,22,-91.12,2.6758,0.1138
1,8,-93.32,2.7541,0.0150
1,18,-90.23,2.7545,0.0090
1,35,-93.00,2.7552,0.0140
1,37,-91.92,2.7544,0.0144
1,1,-93.17,2.7543,0.0150
1,28,-92.59,2.7552,0.0061
1,11,-93.02,2.7544,0.0151
1,3,-92.13,2.7555,0.0061
1,19,-90.48,2.6765,0.1138
1,20,-92.78,2.7557,0.0140
1,49,-92.77,2.7558,0.0140
1,46,-93.11,2.7548,0.0149
1,6,-93.51,2.7549,0.0147
1,24,-92.63,2.7560,0.0140
1,10,-92.46,2.7545,0.0073
1,43,-93.35,2.7544,0.0073
1,47,-92.29,2.7560,0.0142
1,9,-91.61,2.7542,0.0366
1,15,-93.53,2.7552,0.2234
1,36,-94.59,2.7544,0.0161
1,50,-90.02,2.7555,0.0090
1,12,-92.64,2.7544,0.0163
1,26,-92.44,2.7558,0.0061
1,29,-92.89,2.7561,0.0061
1,30,-90.65,2.7571,0.0080
1,42,-87.46,2.7564,0.0090
1,7,-92.10,2.7552,0.0161
1,2,-92.63,2.7558,0.0150
1,17,-91.82,2.7566,0.0090
1,33,-92.56,2.6785,0.1138
1,39,-91.34,2.7572,0.0090
1,23,-92.63,2.7585,0.0137
1,40,-92.17,2.7587,0.0139
1,27,-92.88,2.7572,0.0158
1,41,-92.28,2.7571,0.0164
1,13,-90.15,2.7605,0.0099
2,48,-91.13,2.7583,0.0168
2,25,-93.34,2.7592,0.0188
2,45,-91.22,2.7608,0.0162
2,38,-91.12,2.7608,0.0097
2,16,-92.65,2.7633,0.2157
2,34,-91.22,2.7619,0.0085
2,44,-93.16,2.6787,0.3017
2,5,-91.09,2.7609,0.0190
2,31,-91.05,2.7611,0.0190
2,32,-93.27,2.7641,0.2155
2,4,-92.56,2.7641,0.0148
2,14,-92.31,2.7640,0.0148
2,21,-91.48,2.6793,0.1005
2,22,-93.45,2.6794,0.0903
2,8,-92.83,2.7645,0.0148
2,18,-91.24,2.7622,0.0096
2,35,-93.59,2.7646,0.2156
2,37,-91.91,2.7621,0.0095
2,1,-92.98,2.7647,0.2160
2,28,-93.51,2.6799,0.1001
2,11,-93.10,2.7648,0.2159
2,3,-94.04,2.6800,0.3003
2,19,-93.53,2.6801,0.3107
2,20,-93.78,2.7651,0.0148
2,49,-93.87,2.7651,0.0148
2,46,-92.62,2.7651,0.2161
2,6,-92.22,2.7650,0.0070
2,24,-94.02,2.7654,0.2155
2,10,-93.37,2.6804,0.1001
2,43,-92.53,2.6804,0.1002
2,47,-94.36,2.7655,0.2153
2,9,-91.89,2.6805,0.1006
2,50,-91.41,2.7631,0.0195
2,15,-92.31,2.7652,0.2165
2,36,-91.84,2.6805,0.1003
2,26,-93.38,2.6805,0.1001
2,12,-91.11,2.6805,0.1004
2,29,-94.30,2.6806,0.3002
2,30,-91.16,2.7629,0.0191
2,42,-89.65,2.7640,0.0189
2,7,-91.85,2.6813,0.1002
2,2,-93.72,2.7662,0.2159
2,17,-92.38,2.7642,0.0196
2,33,-88.81,2.6821,0.0928
2,39,-91.80,2.7649,0.0195
2,23,-94.34,2.7675,0.2158
2,40,-94.83,2.7679,0.2156
2,27,-93.75,2.6832,0.1000
2,41,-90.62,2.6834,0.1003
2,13,-90.59,2.7662,0.0109
3,48,-94.44,2.7489,0.0135
3,25,-89.80,2.7467,0.0183
3,45,-95.68,2.7474,0.0174
3,38,-91.88,2.7484,0.0176
3,16,-94.34,2.7518,0.0016
3,34,-95.93,2.7486,0.0174
3,44,-90.64,2.7480,0.0295
3,5,-91.16,2.7495,0.0230
3,31,-91.12,2.7498,0.0230
3,32,-94.43,2.7525,0.0016
3,4,-94.74,2.7527,0.0000
3,14,-95.12,2.7528,0.0000
3,21,-102.18,2.7491,0.0290
3,22,-91.82,2.7490,0.0293
3,8,-94.95,2.7533,0.0000
3,18,-93.75,2.7498,0.0175
3,35,-94.58,2.7531,0.0016
3,37,-96.38,2.7497,0.0174
3,1,-94.87,2.7535,0.0000
3,28,-96.95,2.7531,0.0020
3,11,-94.77,2.7535,0.0000
3,3,-95.20,2.7534,0.0018
3,19,-90.14,2.7495,0.0294
3,20,-94.70,2.7536,0.0016
3,49,-94.88,2.7537,0.0000
3,46,-95.06,2.7540,0.0000
3,6,-96.09,2.7541,0.0135
3,24,-94.81,2.7539,0.0016
3,10,-98.01,2.7537,0.0021
3,43,-100.53,2.7536,0.0022
3,47,-95.11,2.7539,0.0017
3,9,-94.76,2.7502,0.0291
3,50,-93.98,2.7508,0.0175
3,15,-96.20,2.7543,0.0135
3,36,-102.89,2.7504,0.0289
3,26,-98.13,2.7537,0.0021
3,12,-103.39,2.7504,0.0290
3,29,-96.05,2.7540,0.0018
3,30,-89.53,2.7512,0.0233
3,42,-90.59,2.7515,0.0179
3,7,-102.74,2.7512,0.0289
3,2,-94.75,2.7550,0.0000
3,17,-97.46,2.7519,0.0174
3,33,-91.78,2.7512,0.0297
3,39,-97.35,2.7525,0.0174
3,23,-94.85,2.7563,0.0000
3,40,-95.34,2.7566,0.0000
3,27,-100.99,2.7545,0.2352
3,41,-95.62,2.7531,0.0291
3,13,-89.42,2.7546,0.0233
4,48,-97.16,2.7464,0.0207
4,25,-89.99,2.7454,0.0215
4,45,-97.52,2.7657,0.0032
4,38,-96.01,2.7469,0.0223
4,16,-96.14,2.7495,0.2580
4,34,-98.80,2.7668,0.2420
4,44,-87.52,2.6674,0.1076
4,5,-92.65,2.7482,0.2283
4,31,-92.65,2.7484,0.2283
4,32,-95.81,2.7502,0.2577
4,4,-96.25,2.7503,0.2581
4,14,-97.34,2.7502,0.2584
4,21,-90.05,2.6680,0.1002
4,22,-88.69,2.6681,0.1004
4,8,-97.67,2.7506,0.2583
4,18,-96.74,2.7483,0.0224
4,35,-95.94,2.7508,0.2577
4,37,-98.86,2.7679,0.2420
4,1,-97.68,2.7509,0.2582
4,28,-93.80,2.6686,0.3394
4,11,-97.35,2.7510,0.2581
4,3,-95.09,2.6687,0.3398
4,19,-88.59,2.6688,0.1076
4,20,-96.00,2.7512,0.2576
4,49,-96.23,2.7513,0.2577
4,46,-99.88,2.7686,0.2410
4,6,-98.08,2.7686,0.2414
4,24,-96.13,2.7515,0.2575
4,10,-93.25,2.6691,0.3392
4,43,-92.41,2.6691,0.3390
4,47,-95.57,2.7516,0.2573
4,9,-89.19,2.6692,0.1003
4,50,-96.66,2.7492,0.0223
4,15,-98.16,2.7688,0.2414
4,36,-92.13,2.6692,0.0940
4,26,-93.13,2.6692,0.3392
4,12,-89.62,2.6692,0.0941
4,29,-94.97,2.6693,0.3396
4,30,-90.46,2.7499,0.0187
4,42,-93.02,2.7502,0.0190
4,7,-92.81,2.6700,0.1035
4,2,-100.22,2.7697,0.2406
4,17,-97.05,2.7524,0.2594
4,33,-86.99,2.6708,0.1076
4,39,-97.88,2.7530,0.2594
4,23,-98.96,2.7711,0.2403
4,40,-100.62,2.7551,0.2563
4,27,-92.18,2.6719,0.1033
4,41,-89.87,2.6721,0.0941
4,13,-91.05,2.7533,0.0193
5,48,-93.84,2.6721,0.1084
5,25,-91.47,2.7507,0.0326
5,45,-93.45,2.6743,0.0906
5,38,-90.38,2.7521,0.0321
5,16,-96.77,2.6752,0.0892
5,34,-92.81,2.7525,0.0126
5,44,-89.32,2.6756,0.0994
5,5,-93.17,2.7535,0.0328
5,31,-93.12,2.7538,0.0328
5,32,-96.19,2.6759,0.0000
5,4,-98.56,2.6760,0.0893
5,14,-98.85,2.6760,0.0894
5,21,-89.97,2.6762,0.0991
5,22,-87.83,2.6763,0.0992
5,8,-99.47,2.6765,0.0894
5,18,-91.51,2.7538,0.0136
5,35,-96.95,2.6765,0.0000
5,37,-92.90,2.7537,0.0126
5,1,-99.78,2.6767,0.0894
5,28,-93.63,2.6768,0.0824
5,11,-99.67,2.6768,0.0893
5,3,-94.95,2.6769,0.0000
5,19,-88.27,2.6770,0.0993
5,20,-96.98,2.6770,0.0000
5,49,-97.51,2.6770,0.0824
