SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,48,-88.37,2.6760,0.0864
1,25,-88.35,2.6770,0.1796
1,45,-89.04,2.6782,0.0865
1,38,-88.31,2.6789,0.1787
1,16,-89.04,2.6791,0.0862
1,34,-89.44,2.6793,0.1851
1,44,-89.84,2.6795,0.1903
1,5,-89.42,2.6795,0.1800
1,31,-89.33,2.6797,0.1800
1,32,-89.12,2.6799,0.0861
1,4,-88.66,2.6800,0.0863
1,14,-88.82,2.6800,0.0864
1,21,-90.13,2.6802,0.1897
1,22,-90.36,2.6802,0.1900
1,8,-88.65,2.6804,0.0863
1,18,-89.80,2.6804,0.1786
1,35,-89.10,2.6804,0.0862
1,37,-89.77,2.6804,0.1849
1,1,-88.54,2.6807,0.0863
1,28,-90.33,2.6807,0.0861
1,11,-88.81,2.6807,0.0863
1,3,-89.53,2.6808,0.0860
1,19,-90.21,2.6809,0.1901
1,20,-89.09,2.6809,0.0862
1,49,-88.81,2.6810,0.0862
1,46,-88.90,2.6811,0.0864
1,6,-88.99,2.6811,0.1851
1,24,-89.10,2.6812,0.0861
1,10,-90.47,2.6813,0.0861
1,43,-90.77,2.6813,0.0862
1,47,-89.15,2.6813,0.0861
1,9,-90.32,2.6813,0.1898
1,15,-89.23,2.6813,0.1851
1,36,-90.77,2.6814,0.0863
1,50,-89.93,2.6813,0.1786
1,12,-90.44,2.6814,0.1896
1,26,-90.31,2.6814,0.0861
1,29,-89.76,2.6814,0.0860
1,30,-86.69,2.6815,0.1794
1,42,-88.43,2.6820,0.1790
1,7,-91.17,2.6822,0.0862
1,2,-88.96,2.6822,0.0863
1,17,-90.24,2.6825,0.0867
1,33,-89.84,2.6829,0.1903
1,39,-90.29,2.6831,0.0868
1,23,-88.99,2.6836,0.0863
1,40,-89.15,2.6839,0.0862
1,27,-90.91,2.6840,0.0858
1,41,-91.25,2.6842,0.0863
1,13,-87.08,2.6848,0.1794
2,48,-86.04,2.6796,0.1780
2,25,-88.98,2.6806,0.1942
2,45,-88.06,2.6818,0.1868
2,38,-89.20,2.6825,0.1936
2,16,-86.75,2.6827,0.1779
2,34,-88.22,2.6829,0.1867
2,44,-89.31,2.6831,0.1833
2,5,-89.95,2.6831,0.0281
2,31,-89.92,2.6833,0.1946
2,32,-86.75,2.6834,0.1779
2,4,-86.50,2.6835,0.1793
2,14,-87.62,2.6835,0.1792
2,21,-87.10,2.6837,0.1787
2,22,-88.84,2.6838,0.1792
2,8,-86.11,2.6840,0.1791
2,18,-89.14,2.6840,0.1865
2,35,-86.70,2.6840,0.1794
2,37,-88.35,2.6840,0.1866
2,1,-86.94,2.6842,0.1791
2,28,-86.98,2.6843,0.1781
2,11,-86.81,2.6843,0.1792
2,3,-87.16,2.6844,0.1779
2,19,-89.50,2.6845,0.1793
2,20,-87.09,2.6845,0.1794
2,49,-87.00,2.6845,0.1793
2,46,-87.35,2.6846,0.1868
2,6,-87.28,2.6847,0.1867
2,24,-87.11,2.6848,0.1794
2,10,-87.34,2.6848,0.1781
2,43,-87.31,2.6849,0.1783
2,47,-86.67,2.6848,0.1795
2,9,-87.32,2.6849,0.1788
2,50,-89.90,2.6849,0.1864
2,15,-87.34,2.6849,0.1867
2,36,-87.06,2.6849,0.1784
2,26,-87.26,2.6849,0.1781
2,12,-86.78,2.6849,0.1785
2,29,-87.19,2.6850,0.1796
2,30,-90.02,2.6850,0.1942
2,42,-90.48,2.6856,0.1938
2,7,-87.29,2.6857,0.1783
2,2,-85.58,2.6858,0.1790
2,17,-89.21,2.6861,0.1864
2,33,-89.96,2.6865,0.1796
2,39,-89.69,2.6867,0.1863
2,23,-88.11,2.6871,0.1868
2,40,-87.03,2.6875,0.1868
2,27,-87.19,2.6876,0.1796
2,41,-86.93,2.6878,0.1784
2,13,-89.83,2.6884,0.1942
3,48,-88.86,2.6695,0.1853
3,25,-92.94,2.6705,0.1917
3,45,-90.04,2.6717,0.1846
3,38,-92.19,2.6724,0.0783
3,16,-87.64,2.6726,0.1790
3,34,-90.87,2.6728,0.1843
3,44,-90.37,2.6730,0.1871
3,5,-88.17,2.6730,0.1812
3,31,-88.14,2.6732,0.1812
3,32,-87.22,2.6734,0.1789
3,4,-87.90,2.6735,0.1791
3,14,-88.78,2.6735,0.1847
3,21,-88.47,2.6736,0.1781
3,22,-89.49,2.6737,0.0767
3,8,-88.89,2.6739,0.1847
3,18,-92.40,2.6739,0.1922
3,35,-87.51,2.6739,0.1789
3,37,-91.51,2.6739,0.1797
3,1,-88.83,2.6741,0.1792
3,28,-86.93,2.6742,0.1785
3,11,-88.59,2.6742,0.1847
3,3,-86.82,2.6743,0.1787
3,19,-89.73,2.6744,0.0196
3,20,-87.45,2.6744,0.1789
3,49,-87.53,2.6745,0.1789
3,46,-89.14,2.6746,0.1793
3,6,-89.94,2.6746,0.1794
3,24,-87.45,2.6747,0.1789
3,10,-86.96,2.6748,0.1785
3,43,-87.35,2.6748,0.1855
3,47,-87.25,2.6748,0.1788
3,9,-89.16,2.6748,0.0797
3,50,-92.87,2.6748,0.1920
3,15,-90.15,2.6748,0.1794
3,36,-88.15,2.6749,0.1856
3,26,-86.98,2.6748,0.1785
3,12,-88.37,2.6749,0.1858
3,29,-87.21,2.6749,0.1787
3,30,-89.67,2.6749,0.1827
3,42,-92.16,2.6755,0.1915
3,7,-88.17,2.6757,0.1856
3,2,-88.40,2.6757,0.1791
3,17,-92.49,2.6760,0.1798
3,33,-90.47,2.6764,0.0784
3,39,-92.67,2.6766,0.1919
3,23,-88.18,2.6770,0.1790
3,40,-88.02,2.6774,0.1789
3,27,-88.06,2.6775,0.1851
3,41,-89.09,2.6777,0.1856
3,13,-89.58,2.6783,0.1745
4,48,-86.94,2.6683,0.1762
4,25,-83.28,2.6692,0.0816
4,45,-85.37,2.6705,0.1764
4,38,-85.26,2.6712,0.0811
4,16,-86.93,2.6714,0.1758
4,34,-84.96,2.6716,0.1765
4,44,-89.73,2.6718,0.1832
4,5,-82.79,2.6718,0.0819
4,31,-83.04,2.6720,0.0819
4,32,-85.74,2.6721,0.1757
4,4,-85.86,2.6722,0.1759
4,14,-85.98,2.6722,0.1761
4,21,-92.18,2.6724,0.1748
4,22,-91.00,2.6725,0.1828
4,8,-85.89,2.6727,0.1760
4,18,-84.91,2.6726,0.1768
4,35,-85.50,2.6727,0.1757
4,37,-85.14,2.6727,0.1766
4,1,-85.74,2.6729,0.1760
4,28,-87.75,2.6730,0.1753
4,11,-85.61,2.6730,0.1759
4,3,-85.65,2.6731,0.1755
4,19,-90.52,2.6732,0.1829
4,20,-85.33,2.6732,0.1757
4,49,-85.13,2.6732,0.1757
4,46,-86.06,2.6733,0.1761
4,6,-85.64,2.6734,0.1763
4,24,-85.20,2.6735,0.1757
4,10,-88.81,2.6735,0.1752
4,43,-90.19,2.6735,0.1751
4,47,-85.59,2.6735,0.1756
4,9,-91.87,2.6736,0.1745
4,50,-85.32,2.6736,0.1768
4,15,-85.64,2.6736,0.1763
4,36,-91.12,2.6736,0.1750
4,26,-88.94,2.6736,0.1752
4,12,-91.30,2.6736,0.1748
4,29,-86.96,2.6737,0.1755
4,30,-85.12,2.6737,0.0816
4,42,-87.66,2.6743,0.0813
4,7,-91.25,2.6744,0.1749
4,2,-85.15,2.6744,0.1759
4,17,-85.15,2.6748,0.1766
4,33,-89.54,2.6752,0.1832
4,39,-84.96,2.6754,0.1767
4,23,-85.18,2.6758,0.1758
4,40,-85.66,2.6761,0.1757
4,27,-89.27,2.6763,0.1750
4,41,-91.51,2.6765,0.1746
4,13,-86.06,2.6771,0.0816
5,48,-89.46,2.6765,0.1851
5,25,-87.38,2.6775,0.0891
5,45,-88.62,2.6787,0.0853
5,38,-88.31,2.6794,0.0851
5,16,-88.54,2.6796,0.1849
5,34,-88.51,2.6798,0.0852
5,44,-87.99,2.6800,0.1751
5,5,-88.48,2.6800,0.0894
5,31,-88.57,2.6802,0.0894
5,32,-88.70,2.6803,0.1849
5,4,-89.20,2.6804,0.1847
5,14,-88.89,2.6804,0.1775
5,21,-86.64,2.6806,0.1858
5,22,-85.92,2.6807,0.1756
5,8,-88.82,2.6809,0.1774
5,18,-88.58,2.6809,0.0851
5,35,-88.51,2.6809,0.1848
5,37,-88.90,2.6809,0.0852
5,1,-88.79,2.6811,0.1774
5,28,-89.04,2.6812,0.1852
5,11,-88.85,2.6812,0.1773
5,3,-89.77,2.6813,0.1850
5,19,-86.95,2.6814,0.1754
5,20,-88.87,2.6814,0.1848
5,49,-89.24,2.6814,0.1847
5,46,-88.72,2.6815,0.0853
5,6,-88.71,2.6816,0.0853
5,24,-88.99,2.6817,0.1771
5,10,-88.85,2.6817,0.1852
5,43,-88.47,2.6817,0.1853
5,47,-88.47,2.6817,0.1849
5,9,-85.79,2.6818,0.1758
5,50,-88.42,2.6818,0.0850
5,15,-88.70,2.6818,0.0852
5,36,-87.80,2.6818,0.1855
5,26,-88.87,2.6818,0.1852
5,12,-87.24,2.6818,0.1761
5,29,-89.71,2.6819,0.1850
5,30,-87.88,2.6819,0.0891
5,42,-87.91,2.6825,0.0889
5,7,-87.86,2.6826,0.1854
5,2,-88.70,2.6827,0.0853
5,17,-89.25,2.6830,0.0851
5,33,-87.41,2.6834,0.1747
5,39,-88.63,2.6836,0.0850
5,23,-88.80,2.6840,0.0853
5,40,-88.86,2.6844,0.0854
5,27,-87.94,2.6845,0.1763
5,41,-87.50,2.6847,0.1758
5,13,-88.42,2.6853,0.1821
6,48,-82.83,2.6744,0.0803
6,25,-87.39,2.6754,0.0852
6,45,-83.86,2.6767,0.0802
6,38,-85.94,2.6774,0.0848
6,16,-84.68,2.6775,0.1788
6,34,-84.06,2.6777,0.0803
6,44,-91.84,2.6780,0.0830
6,5,-89.12,2.6780,0.0856
6,31,-89.22,2.6782,0.0856
6,32,-84.76,2.6783,0.1787
6,4,-85.53,2.6784,0.1788
6,14,-85.35,2.6784,0.1790
6,21,-88.00,2.6786,0.1778
6,22,-90.76,2.6787,0.0812
6,8,-85.58,2.6788,0.1790
6,18,-84.31,2.6788,0.0847
6,35,-85.85,2.6789,0.1787
6,37,-83.76,2.6789,0.0803
6,1,-85.77,2.6791,0.1789
