SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,48,-84.03,2.6922,0.1648
1,25,-84.78,2.6937,0.1690
1,45,-84.10,2.6945,0.1562
1,38,-84.19,2.6954,0.1696
1,16,-84.28,2.6952,0.1648
1,34,-84.09,2.6956,0.1563
1,44,-84.78,2.6950,0.1729
1,5,-84.58,2.6964,0.0021
1,31,-85.03,2.6966,0.0021
1,32,-84.05,2.6959,0.1649
1,4,-84.52,2.6961,0.1647
1,14,-84.05,2.6962,0.1560
1,21,-82.07,2.6960,0.1658
1,22,-81.93,2.6959,0.1663
1,8,-84.43,2.6966,0.1560
1,18,-83.96,2.6968,0.1697
1,35,-84.39,2.6965,0.1648
1,37,-83.81,2.6968,0.1563
1,1,-84.51,2.6968,0.1560
1,28,-84.05,2.6967,0.1652
1,11,-84.40,2.6969,0.1560
1,3,-83.57,2.6968,0.1650
1,19,-82.06,2.6965,0.1665
1,20,-84.51,2.6970,0.1648
1,49,-84.59,2.6971,0.1647
1,46,-84.36,2.6973,0.1560
1,6,-84.28,2.6974,0.1561
1,24,-84.55,2.6973,0.1558
1,10,-84.17,2.6972,0.1652
1,43,-83.93,2.6972,0.1654
1,47,-84.29,2.6973,0.1649
1,9,-83.17,2.6971,0.1660
1,15,-84.22,2.6976,0.1561
1,36,-83.94,2.6972,0.1655
1,50,-83.94,2.6978,0.1695
1,12,-83.39,2.6972,0.1716
1,26,-84.20,2.6973,0.1652
1,29,-83.82,2.6975,0.1650
1,30,-84.28,2.6982,0.1686
1,42,-84.40,2.6986,0.1690
1,7,-83.53,2.6980,0.1714
1,2,-84.37,2.6984,0.1559
1,17,-84.15,2.6989,0.1696
1,33,-84.57,2.6983,0.1729
1,39,-84.08,2.6995,0.1695
1,23,-84.33,2.6997,0.1559
1,40,-84.49,2.7000,0.1558
1,27,-83.44,2.6999,0.1651
1,41,-83.48,2.7000,0.1656
1,13,-84.63,2.7016,0.1682
2,48,-85.47,2.6957,0.1680
2,25,-85.56,2.6972,0.1616
2,45,-85.61,2.6980,0.1607
2,38,-84.76,2.6990,0.1684
2,16,-88.23,2.6988,0.1606
2,34,-85.30,2.6992,0.1607
2,44,-85.50,2.6986,0.1598
2,5,-85.74,2.7000,0.1671
2,31,-85.77,2.7002,0.1671
2,32,-88.00,2.6995,0.1677
2,4,-88.49,2.6997,0.1678
2,14,-88.04,2.6997,0.1679
2,21,-86.95,2.6995,0.1605
2,22,-86.18,2.6994,0.1601
2,8,-88.44,2.7001,0.1679
2,18,-85.48,2.7004,0.1609
2,35,-88.36,2.7001,0.1678
2,37,-85.18,2.7003,0.1607
2,1,-88.38,2.7004,0.1679
2,28,-87.22,2.7002,0.1608
2,11,-88.60,2.7004,0.1679
2,3,-87.64,2.7004,0.1609
2,19,-86.04,2.7001,0.1599
2,20,-88.36,2.7006,0.1605
2,49,-88.40,2.7006,0.1678
2,46,-88.16,2.7008,0.1679
2,6,-86.57,2.7009,0.1608
2,24,-88.30,2.7009,0.1677
2,10,-86.81,2.7008,0.1607
2,43,-86.70,2.7007,0.1606
2,47,-88.13,2.7009,0.1610
2,9,-86.88,2.7006,0.1602
2,50,-85.93,2.7013,0.1609
2,15,-86.40,2.7011,0.1608
2,36,-86.67,2.7008,0.1606
2,26,-86.75,2.7008,0.1607
2,12,-86.63,2.7007,0.1604
2,29,-87.77,2.7010,0.1609
2,30,-83.83,2.7017,0.1675
2,42,-84.97,2.7021,0.1679
2,7,-86.35,2.7016,0.1605
2,2,-88.09,2.7019,0.1678
2,17,-85.50,2.7024,0.1608
2,33,-85.96,2.7019,0.1595
2,39,-85.77,2.7031,0.1682
2,23,-87.96,2.7033,0.1678
2,40,-88.39,2.7036,0.1610
2,27,-86.49,2.7035,0.1605
2,41,-86.04,2.7036,0.1602
2,13,-84.40,2.7051,0.1687
3,48,-88.44,2.6856,0.1668
3,25,-84.27,2.6871,0.1628
3,45,-89.85,2.6879,0.1707
3,38,-86.47,2.6888,0.1702
3,16,-88.90,2.6886,0.1646
3,34,-89.49,2.6890,0.1705
3,44,-86.57,2.6884,0.1737
3,5,-84.67,2.6898,0.1752
3,31,-84.95,2.6900,0.1752
3,32,-88.88,2.6893,0.1646
3,4,-89.52,2.6895,0.1711
3,14,-89.89,2.6896,0.1709
3,21,-89.27,2.6894,0.1721
3,22,-88.02,2.6893,0.1731
3,8,-89.93,2.6900,0.1709
3,18,-86.94,2.6902,0.1702
3,35,-89.11,2.6899,0.1645
3,37,-88.14,2.6902,0.1704
3,1,-89.93,2.6902,0.1709
3,28,-87.91,2.6901,0.1672
3,11,-90.01,2.6903,0.1709
3,3,-88.57,2.6902,0.1647
3,19,-87.89,2.6899,0.1733
3,20,-89.15,2.6904,0.1712
3,49,-89.46,2.6905,0.1711
3,46,-90.10,2.6907,0.1708
3,6,-89.32,2.6908,0.1706
3,24,-89.18,2.6907,0.1711
3,10,-87.99,2.6906,0.1672
3,43,-88.13,2.6906,0.1717
3,47,-89.07,2.6907,0.1646
3,9,-88.50,2.6905,0.1723
3,50,-86.00,2.6911,0.1650
3,15,-89.27,2.6910,0.1706
3,36,-88.34,2.6906,0.1718
3,26,-87.98,2.6907,0.1672
3,12,-89.03,2.6906,0.1720
3,29,-88.58,2.6909,0.1647
3,30,-85.06,2.6916,0.1625
3,42,-85.04,2.6920,0.1628
3,7,-88.28,2.6914,0.1674
3,2,-90.13,2.6918,0.1708
3,17,-85.98,2.6923,0.1634
3,33,-86.27,2.6918,0.1737
3,39,-85.69,2.6929,0.1650
3,23,-89.89,2.6931,0.1708
3,40,-90.07,2.6934,0.1709
3,27,-88.41,2.6933,0.1649
3,41,-88.20,2.6934,0.1719
3,13,-86.49,2.6950,0.1640
4,48,-84.22,2.6846,0.1685
4,25,-87.92,2.6861,0.1669
4,45,-85.81,2.6869,0.1681
4,38,-87.21,2.6878,0.1676
4,16,-84.20,2.6876,0.1686
4,34,-86.28,2.6880,0.1679
4,44,-87.74,2.6874,0.1735
4,5,-87.87,2.6888,0.1570
4,31,-87.42,2.6890,0.1570
4,32,-83.98,2.6883,0.1686
4,4,-85.34,2.6885,0.1685
4,14,-86.00,2.6885,0.1683
