SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,46,-76.21,2.0318,0.1584
1,22,-75.22,2.0318,0.1587
1,15,-76.08,2.0319,0.1583
1,43,-76.78,2.0322,0.1584
1,23,-76.29,2.0323,0.1587
1,6,-75.36,2.0323,0.1587
1,14,-75.56,2.0322,0.1555
1,13,-77.46,2.0323,0.1587
1,1,-74.01,2.0324,0.1591
1,8,-77.26,2.0325,0.1587
1,40,-76.06,2.0325,0.1586
1,47,-75.26,2.0324,0.1555
1,26,-76.89,2.0326,0.1586
1,18,-75.57,2.0326,0.1586
1,32,-75.75,2.0325,0.1593
1,44,-76.95,2.0326,0.1590
1,34,-76.16,2.0326,0.1586
1,25,-77.03,2.0326,0.1585
1,17,-75.42,2.0327,0.1554
1,35,-75.85,2.0327,0.1586
1,19,-75.60,2.0327,0.1586
1,20,-75.74,2.0326,0.1582
1,3,-74.57,2.0328,0.1562
1,28,-75.97,2.0328,0.1586
1,42,-76.07,2.0328,0.1587
1,9,-75.94,2.0328,0.1586
1,49,-75.90,2.0328,0.1586
1,2,-76.83,2.0328,0.1585
1,7,-76.72,2.0329,0.1556
1,24,-76.96,2.0328,0.1585
1,21,-77.87,2.0328,0.1587
1,31,-74.06,2.0328,0.1562
1,39,-78.76,2.0394,0.1523
1,5,-77.69,2.0328,0.1589
1,36,-78.13,2.0329,0.1589
1,12,-78.15,2.0330,0.1589
1,27,-76.51,2.0331,0.1586
1,16,-76.70,2.0332,0.1556
1,11,-75.80,2.0332,0.1586
1,10,-77.05,2.0332,0.1557
1,33,-79.11,2.0332,0.1589
1,48,-76.00,2.0333,0.1590
1,45,-75.64,2.0334,0.1554
1,29,-76.32,2.0332,0.1582
1,41,-77.35,2.0334,0.1556
1,50,-76.62,2.0336,0.1555
1,4,-78.30,2.0339,0.1585
1,37,-75.92,2.0338,0.1555
1,30,-77.30,2.0338,0.1557
1,38,-76.03,2.0339,0.1589
2,46,-75.42,2.0317,0.1289
2,22,-78.05,2.0318,0.1287
2,15,-74.64,2.0318,0.1291
2,43,-75.59,2.0320,0.1289
2,23,-77.51,2.0323,0.1286
2,6,-77.39,2.0323,0.1287
2,14,-75.24,2.0322,0.1293
2,13,-76.64,2.0323,0.1285
2,1,-73.60,2.0324,0.1282
2,8,-76.99,2.0325,0.1286
2,40,-77.25,2.0325,0.1287
2,47,-72.97,2.0324,0.1292
2,26,-76.89,2.0326,0.1287
2,18,-76.60,2.0326,0.1286
2,32,-75.04,2.0326,0.1281
2,44,-75.10,2.0326,0.1284
2,34,-77.20,2.0326,0.1287
2,25,-76.16,2.0326,0.1288
2,17,-74.51,2.0326,0.1290
2,35,-77.57,2.0327,0.1286
2,19,-76.76,2.0327,0.1286
2,20,-75.39,2.0326,0.1293
2,3,-73.29,2.0328,0.1283
2,28,-76.96,2.0328,0.1286
2,42,-77.28,2.0328,0.1286
2,9,-77.49,2.0328,0.1286
2,49,-77.42,2.0328,0.1286
2,2,-76.63,2.0328,0.1287
2,7,-75.11,2.0328,0.1288
2,24,-76.67,2.0328,0.1287
2,21,-76.50,2.0329,0.1285
2,31,-73.55,2.0329,0.1282
2,39,-77.19,2.0328,0.1284
2,5,-75.65,2.0329,0.1284
2,36,-76.10,2.0329,0.1284
2,12,-75.46,2.0330,0.1284
2,27,-77.24,2.0332,0.1286
2,16,-75.51,2.0331,0.1288
2,11,-76.84,2.0332,0.1286
2,10,-75.50,2.0332,0.1287
2,33,-76.28,2.0332,0.1284
2,48,-74.38,2.0333,0.1283
2,45,-74.28,2.0333,0.1012
2,29,-75.08,2.0332,0.1293
2,41,-75.43,2.0333,0.1287
2,50,-74.50,2.0335,0.1288
2,4,-76.04,2.0337,0.1284
2,37,-74.69,2.0337,0.1288
2,30,-76.56,2.0338,0.1286
2,38,-74.49,2.0339,0.1282
3,46,-74.73,2.0315,0.1313
3,22,-74.42,2.0315,0.1302
3,15,-75.19,2.0315,0.1313
3,43,-74.80,2.0318,0.1312
3,23,-74.44,2.0320,0.1302
3,6,-75.23,2.0320,0.1302
3,14,-76.31,2.0324,0.1310
3,13,-74.15,2.0320,0.1301
3,1,-75.93,2.0324,0.1252
3,8,-74.94,2.0322,0.1301
3,40,-75.42,2.0322,0.1302
3,47,-76.39,2.0322,0.1314
3,26,-74.60,2.0323,0.1302
3,18,-75.71,2.0323,0.1302
3,32,-76.22,2.0385,0.1192
3,44,-74.45,2.0323,0.1256
3,34,-75.32,2.0323,0.1302
3,25,-75.20,2.0323,0.1303
3,17,-75.53,2.0323,0.1313
3,35,-74.63,2.0324,0.1302
3,19,-75.75,2.0324,0.1302
3,20,-76.27,2.0326,0.1314
3,3,-74.75,2.0328,0.1252
3,28,-75.85,2.0325,0.1302
3,42,-74.56,2.0325,0.1302
3,9,-74.75,2.0325,0.1302
3,49,-74.62,2.0325,0.1302
3,2,-75.01,2.0325,0.1302
3,7,-75.49,2.0325,0.1303
3,24,-74.82,2.0325,0.1302
3,21,-74.39,2.0326,0.1301
3,31,-75.08,2.0328,0.1252
3,39,-72.86,2.0326,0.1000
3,5,-73.68,2.0326,0.1256
3,36,-73.35,2.0326,0.1257
3,12,-73.59,2.0327,0.1256
3,27,-75.33,2.0329,0.1301
3,16,-75.27,2.0329,0.1303
3,11,-75.79,2.0329,0.1302
3,10,-75.41,2.0329,0.1302
3,33,-73.06,2.0330,0.1257
3,48,-73.92,2.0330,0.1255
3,45,-76.20,2.0330,0.1313
3,29,-76.09,2.0331,0.1314
3,41,-75.45,2.0331,0.1303
3,50,-76.23,2.0333,0.1303
3,4,-74.55,2.0333,0.1257
3,37,-75.08,2.0334,0.1303
3,30,-74.59,2.0335,0.1302
3,38,-73.70,2.0336,0.1255
4,46,-75.50,2.0308,0.1283
4,22,-75.94,2.0308,0.1311
4,15,-76.69,2.0309,0.1283
4,43,-76.07,2.0311,0.1300
4,23,-75.91,2.0313,0.1310
4,6,-75.37,2.0313,0.1310
4,14,-76.34,2.0313,0.1298
4,13,-76.63,2.0313,0.1310
4,1,-76.26,2.0314,0.1605
4,8,-76.10,2.0315,0.1310
4,40,-75.24,2.0316,0.1310
4,47,-76.67,2.0315,0.1284
4,26,-75.94,2.0316,0.1311
4,18,-74.97,2.0316,0.1310
4,32,-75.67,2.0316,0.1305
4,44,-75.57,2.0317,0.1606
4,34,-75.41,2.0316,0.1310
4,25,-75.20,2.0317,0.1311
4,17,-76.37,2.0317,0.1282
4,35,-75.47,2.0318,0.1310
4,19,-74.97,2.0318,0.1310
4,20,-76.32,2.0318,0.1284
4,3,-76.43,2.0318,0.1605
4,28,-75.11,2.0318,0.1310
4,42,-75.95,2.0318,0.1310
4,9,-75.41,2.0318,0.1310
4,49,-75.52,2.0319,0.1310
4,2,-75.48,2.0319,0.1311
4,7,-76.03,2.0319,0.1300
4,24,-75.68,2.0319,0.1311
4,21,-76.60,2.0319,0.1309
4,31,-76.35,2.0319,0.1305
4,39,-76.38,2.0319,0.1607
4,5,-75.03,2.0319,0.1307
4,36,-75.19,2.0320,0.1606
4,12,-74.91,2.0321,0.1307
4,27,-76.42,2.0322,0.1310
4,16,-75.47,2.0322,0.1311
4,11,-75.02,2.0322,0.1310
4,10,-75.23,2.0323,0.1311
4,33,-75.57,2.0323,0.1307
4,48,-75.73,2.0324,0.1306
4,45,-76.55,2.0324,0.1301
4,29,-76.04,2.0323,0.1284
4,41,-75.47,2.0324,0.1311
4,50,-75.93,2.0326,0.1311
4,4,-75.92,2.0326,0.1608
4,37,-76.55,2.0327,0.1311
4,30,-75.57,2.0328,0.1310
4,38,-75.90,2.0330,0.1305
5,46,-74.80,2.0326,0.1313
5,22,-73.94,2.0326,0.1315
5,15,-74.58,2.0328,0.1312
5,43,-74.78,2.0329,0.1313
5,23,-74.23,2.0331,0.1314
5,6,-74.75,2.0331,0.1314
5,14,-73.79,2.0333,0.1314
5,13,-74.88,2.0331,0.1314
5,1,-75.99,2.0333,0.1310
5,8,-75.00,2.0333,0.1314
5,40,-75.28,2.0334,0.1315
5,47,-75.17,2.0334,0.1314
5,26,-75.35,2.0334,0.1315
5,18,-74.93,2.0334,0.1314
5,32,-76.64,2.0394,0.1250
5,44,-76.11,2.0335,0.1311
5,34,-75.19,2.0334,0.1315
5,25,-75.28,2.0335,0.1315
5,17,-75.14,2.0335,0.1314
5,35,-74.69,2.0335,0.1314
5,19,-74.90,2.0336,0.1314
5,20,-74.07,2.0336,0.1315
5,3,-75.78,2.0337,0.1310
5,28,-75.26,2.0336,0.1314
5,42,-74.98,2.0336,0.1314
5,9,-74.68,2.0336,0.1314
5,49,-74.75,2.0336,0.1314
5,2,-75.02,2.0336,0.1315
5,7,-75.13,2.0337,0.1316
5,24,-75.00,2.0337,0.1315
5,21,-76.04,2.0337,0.1313
5,31,-75.84,2.0338,0.1310
5,39,-76.34,2.0338,0.1311
5,5,-76.84,2.0338,0.1311
5,36,-77.10,2.0338,0.1311
5,12,-76.84,2.0339,0.1311
5,27,-74.82,2.0340,0.1314
5,16,-74.99,2.0340,0.1315
5,11,-74.64,2.0340,0.1314
5,10,-75.47,2.0341,0.1315
5,33,-77.06,2.0342,0.1311
5,48,-76.02,2.0342,0.1310
5,45,-75.21,2.0341,0.1313
5,29,-74.21,2.0342,0.1314
5,41,-75.28,2.0342,0.1315
5,50,-75.84,2.0344,0.1315
5,4,-77.06,2.0346,0.1311
5,37,-75.32,2.0345,0.1315
5,30,-75.58,2.0346,0.1314
5,38,-76.50,2.0348,0.1310
6,46,-75.52,2.0317,0.1301
6,22,-75.66,2.0317,0.1299
6,15,-75.71,2.0319,0.1303
6,43,-74.69,2.0320,0.1300
6,23,-76.06,2.0322,0.1313
6,6,-76.19,2.0322,0.1299
6,14,-75.74,2.0325,0.1303
6,13,-75.63,2.0323,0.1313
6,1,-76.45,2.0325,0.1309
6,8,-75.54,2.0325,0.1313
6,40,-75.01,2.0325,0.1299
6,47,-75.40,2.0328,0.1302
6,26,-74.78,2.0325,0.1299
6,18,-76.22,2.0325,0.1299
6,32,-75.69,2.0326,0.1309
6,44,-75.67,2.0326,0.1310
6,34,-74.90,2.0325,0.1299
6,25,-73.27,2.0326,0.1299
6,17,-75.23,2.0327,0.1300
6,35,-75.97,2.0327,0.1313
6,19,-76.14,2.0327,0.1313
6,20,-75.65,2.0330,0.1303
6,3,-75.85,2.0328,0.1310
6,28,-75.44,2.0327,0.1313
6,42,-76.33,2.0327,0.1313
6,9,-76.00,2.0327,0.1313
6,49,-75.94,2.0328,0.1313
6,2,-73.30,2.0328,0.1299
6,7,-74.95,2.0328,0.1300
6,24,-73.37,2.0328,0.1299
6,21,-75.46,2.0328,0.1312
6,31,-75.58,2.0329,0.1309
6,39,-74.76,2.0328,0.1311
6,5,-74.49,2.0329,0.1310
6,36,-74.21,2.0329,0.1310
6,12,-74.61,2.0331,0.1310
6,27,-77.07,2.0331,0.1313
6,16,-73.40,2.0331,0.1299
6,11,-76.04,2.0331,0.1313
6,10,-73.29,2.0332,0.1299
6,33,-74.13,2.0333,0.1310
6,48,-77.09,2.0333,0.1310
6,45,-75.48,2.0334,0.1299
6,29,-75.60,2.0336,0.1303
6,41,-73.19,2.0333,0.1299
6,50,-75.26,2.0335,0.1300
6,4,-75.39,2.0336,0.1312
6,37,-74.89,2.0336,0.1300
6,30,-73.43,2.0337,0.1314
6,38,-76.58,2.0339,0.1310
7,46,-74.55,2.0313,0.1254
7,22,-73.41,2.0314,0.1256
7,15,-74.30,2.0313,0.1245
7,43,-74.27,2.0316,0.1254
7,23,-73.68,2.0319,0.1256
7,6,-73.77,2.0319,0.1255
7,14,-75.29,2.0318,0.1574
7,13,-74.85,2.0319,0.1256
7,1,-74.12,2.0319,0.1563
7,8,-74.21,2.0321,0.1256
7,40,-74.68,2.0321,0.1255
7,47,-75.90,2.0321,0.1575
7,26,-74.88,2.0322,0.1254
7,18,-73.95,2.0322,0.1255
7,32,-74.11,2.0321,0.1564
7,44,-74.20,2.0321,0.1562
7,34,-74.88,2.0322,0.1255
7,25,-74.66,2.0321,0.1255
7,17,-74.37,2.0322,0.1576
7,35,-73.56,2.0323,0.1255
7,19,-74.02,2.0323,0.1255
7,20,-75.88,2.0323,0.1574
7,3,-74.54,2.0323,0.1562
7,28,-74.36,2.0324,0.1255
7,42,-73.58,2.0324,0.1255
7,9,-73.44,2.0324,0.1255
7,49,-73.57,2.0324,0.1255
7,2,-74.75,2.0323,0.1578
7,7,-74.28,2.0323,0.1577
7,24,-74.82,2.0324,0.1578
7,21,-74.97,2.0324,0.1256
7,31,-74.21,2.0324,0.1563
7,39,-74.28,2.0324,0.1258
7,5,-73.93,2.0324,0.1258
7,36,-73.82,2.0324,0.1258
7,12,-74.01,2.0325,0.1258
7,27,-73.39,2.0327,0.1255
7,16,-74.95,2.0327,0.1577
7,11,-73.90,2.0328,0.1254
7,10,-74.75,2.0328,0.1577
7,33,-74.03,2.0328,0.1258
7,48,-73.85,2.0329,0.1259
7,45,-74.65,2.0328,0.1575
7,29,-75.91,2.0328,0.1573
7,41,-74.96,2.0329,0.1577
7,50,-74.16,2.0331,0.1576
7,4,-75.71,2.0331,0.1257
7,37,-74.34,2.0332,0.1576
7,30,-74.67,2.0333,0.1577
7,38,-73.97,2.0334,0.1258
8,46,-78.35,2.0316,0.1026
8,22,-76.26,2.0315,0.1025
8,15,-75.21,2.0315,0.1028
8,43,-78.82,2.0319,0.1025
8,23,-76.79,2.0320,0.1025
8,6,-76.26,2.0320,0.1025
8,14,-76.05,2.0321,0.1284
8,13,-78.50,2.0321,0.1024
8,1,-77.70,2.0323,0.1302
8,8,-76.96,2.0323,0.1024
8,40,-75.69,2.0323,0.1025
8,47,-76.22,2.0323,0.1285
8,26,-76.20,2.0323,0.1025
8,18,-76.18,2.0323,0.1025
8,32,-76.52,2.0325,0.1301
8,44,-77.44,2.0325,0.1303
8,34,-75.67,2.0323,0.1025
8,25,-78.19,2.0324,0.1026
8,17,-75.09,2.0324,0.1027
8,35,-76.68,2.0325,0.1025
8,19,-76.32,2.0325,0.1025
8,20,-75.91,2.0326,0.1283
8,3,-77.53,2.0327,0.1302
8,28,-75.87,2.0325,0.1025
8,42,-76.83,2.0325,0.1025
8,9,-76.62,2.0325,0.1025
8,49,-76.68,2.0325,0.1025
8,2,-77.76,2.0326,0.1025
8,7,-78.16,2.0327,0.1025
8,24,-77.40,2.0326,0.1025
8,21,-78.55,2.0326,0.1024
8,31,-77.58,2.0328,0.1302
8,39,-78.21,2.0328,0.1304
8,5,-77.36,2.0328,0.1303
8,36,-77.44,2.0328,0.1303
8,12,-77.35,2.0329,0.1303
8,27,-76.87,2.0329,0.1024
8,16,-78.25,2.0329,0.1025
8,11,-76.13,2.0329,0.1025
8,10,-78.13,2.0330,0.1025
8,33,-77.59,2.0332,0.1303
8,48,-77.54,2.0332,0.1302
8,45,-74.69,2.0330,0.1027
8,29,-75.99,2.0331,0.1283
8,41,-78.11,2.0331,0.1025
8,50,-78.01,2.0334,0.1025
8,4,-77.27,2.0334,0.1305
8,37,-78.22,2.0335,0.1025
8,30,-76.95,2.0335,0.1025
8,38,-77.86,2.0338,0.1302
9,46,-75.36,2.0329,0.1298
9,22,-73.26,2.0327,0.1298
9,15,-76.71,2.0329,0.1299
9,43,-75.91,2.0332,0.1298
9,23,-72.92,2.0333,0.1297
9,6,-73.87,2.0333,0.1298
9,14,-73.23,2.0335,0.1300
9,13,-73.79,2.0333,0.1297
9,1,-76.24,2.0336,0.1590
9,8,-73.41,2.0335,0.1297
9,40,-74.88,2.0335,0.1298
9,47,-74.60,2.0338,0.1299
9,26,-75.17,2.0337,0.1297
9,18,-74.31,2.0336,0.1298
9,32,-75.92,2.0337,0.1292
9,44,-76.32,2.0336,0.1593
9,34,-74.88,2.0336,0.1298
9,25,-74.99,2.0337,0.1297
9,17,-77.28,2.0338,0.1566
9,35,-72.90,2.0337,0.1297
9,19,-74.33,2.0337,0.1298
9,20,-72.81,2.0340,0.1300
9,3,-76.45,2.0339,0.1591
9,28,-74.74,2.0338,0.1298
9,42,-72.81,2.0338,0.1297
9,9,-72.92,2.0338,0.1297
9,49,-72.94,2.0338,0.1297
9,2,-74.91,2.0339,0.1297
9,7,-76.43,2.0339,0.1298
9,24,-74.82,2.0339,0.1297
9,21,-73.70,2.0338,0.1297
9,31,-75.56,2.0340,0.1293
9,39,-73.56,2.0338,0.1294
9,5,-74.86,2.0338,0.1594
9,36,-74.21,2.0339,0.1594
9,12,-75.02,2.0340,0.1593
9,27,-72.98,2.0341,0.1297
9,16,-75.64,2.0343,0.1297
9,11,-74.01,2.0342,0.1297
9,10,-75.10,2.0343,0.1297
9,33,-73.62,2.0342,0.1294
9,48,-75.44,2.0344,0.1293
9,45,-76.94,2.0345,0.1298
9,29,-72.60,2.0346,0.1299
9,41,-75.58,2.0345,0.1297
9,50,-76.69,2.0347,0.1297
9,4,-73.69,2.0346,0.1594
9,37,-77.23,2.0348,0.1297
9,30,-74.92,2.0349,0.1296
9,38,-76.00,2.0349,0.1294
10,46,-76.38,2.0319,0.1311
10,22,-77.05,2.0321,0.1308
10,15,-75.39,2.0323,0.1288
10,43,-76.29,2.0322,0.1311
10,23,-76.26,2.0326,0.1307
10,6,-76.98,2.0326,0.1308
10,14,-76.82,2.0325,0.1296
10,13,-75.32,2.0324,0.1309
10,1,-74.61,2.0325,0.1293
10,8,-75.46,2.0326,0.1309
10,40,-76.71,2.0328,0.1308
10,47,-75.01,2.0328,0.1290
10,26,-77.02,2.0327,0.1310
10,18,-76.72,2.0329,0.1307
10,32,-72.42,2.0327,0.1294
10,44,-76.01,2.0327,0.1292
10,34,-76.70,2.0329,0.1308
10,25,-77.01,2.0327,0.1310
10,17,-75.68,2.0331,0.1308
10,35,-76.62,2.0330,0.1307
10,19,-76.63,2.0330,0.1307
10,20,-76.97,2.0330,0.1569
10,3,-75.45,2.0330,0.1292
10,28,-76.59,2.0331,0.1307
10,42,-76.48,2.0331,0.1307
10,9,-76.58,2.0331,0.1307
10,49,-76.52,2.0331,0.1307
10,2,-77.00,2.0329,0.1310
10,7,-75.81,2.0329,0.1311
10,24,-76.99,2.0330,0.1310
10,21,-75.43,2.0330,0.1308
10,31,-74.42,2.0329,0.1293
10,39,-73.74,2.0329,0.1307
10,5,-74.95,2.0330,0.1292
10,36,-75.09,2.0330,0.1292
10,12,-74.90,2.0331,0.1292
10,27,-75.83,2.0334,0.1307
10,16,-76.03,2.0333,0.1310
10,11,-76.61,2.0335,0.1307
10,10,-76.71,2.0334,0.1310
10,33,-74.93,2.0333,0.1292
10,48,-74.07,2.0335,0.1291
10,45,-75.93,2.0336,0.1310
10,29,-77.28,2.0335,0.1569
10,41,-76.15,2.0335,0.1310
10,50,-76.07,2.0337,0.1310
10,4,-74.51,2.0337,0.1308
