SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,20,-63.07,1.3481,0.0709
1,26,-64.73,1.3484,0.0711
1,48,-64.67,1.3485,0.0708
1,9,-64.25,1.3489,0.0703
1,2,-65.51,1.3487,0.0708
1,28,-65.85,1.3488,0.0709
1,49,-64.29,1.3490,0.0709
1,42,-65.00,1.3490,0.0709
1,5,-64.93,1.3490,0.0709
1,8,-63.47,1.3409,0.0795
1,1,-64.91,1.3491,0.0711
1,19,-65.09,1.3491,0.0707
1,24,-64.48,1.3493,0.0709
1,37,-62.02,1.3412,0.0794
1,12,-65.80,1.3493,0.0708
1,46,-64.27,1.3497,0.0699
1,32,-64.66,1.3494,0.0708
1,25,-64.48,1.3494,0.0709
1,50,-65.19,1.3494,0.0707
1,33,-64.43,1.3495,0.0711
1,41,-64.44,1.3495,0.0709
1,34,-64.48,1.3495,0.0709
1,7,-64.64,1.3495,0.0710
1,29,-64.62,1.3495,0.0708
1,39,-64.34,1.3496,0.0709
1,10,-62.01,1.3414,0.0794
1,15,-64.56,1.3496,0.0708
1,45,-64.38,1.3496,0.0708
1,21,-64.05,1.3499,0.0700
1,4,-64.25,1.3496,0.0708
1,6,-65.27,1.3495,0.0707
1,16,-64.45,1.3496,0.0708
1,31,-65.04,1.3496,0.0710
1,44,-65.15,1.3496,0.0708
1,18,-63.64,1.3498,0.0703
1,3,-65.24,1.3496,0.0707
1,40,-65.54,1.3497,0.0709
1,43,-64.26,1.3498,0.0707
1,11,-64.13,1.3498,0.0707
1,35,-65.89,1.3498,0.0708
1,13,-64.65,1.3498,0.0711
1,17,-64.45,1.3501,0.0703
1,14,-65.65,1.3501,0.0708
1,30,-66.32,1.3502,0.0712
1,23,-64.81,1.3503,0.0707
1,22,-64.98,1.3504,0.0706
1,36,-65.81,1.3505,0.0707
1,47,-63.34,1.3507,0.0702
1,27,-65.72,1.3506,0.0706
1,38,-65.27,1.3506,0.0706
2,20,-67.12,1.3405,0.0774
2,26,-65.51,1.3410,0.0775
2,48,-67.86,1.3409,0.0774
2,9,-66.40,1.3410,0.0772
2,2,-67.34,1.3411,0.0773
2,28,-68.37,1.3412,0.0774
2,49,-68.85,1.3414,0.0774
2,42,-67.56,1.3414,0.0774
2,5,-67.77,1.3414,0.0774
2,8,-61.23,1.3502,0.0691
2,1,-65.73,1.3416,0.0775
2,19,-65.84,1.3500,0.0688
2,24,-68.00,1.3417,0.0774
2,37,-61.89,1.3420,0.0776
2,12,-67.35,1.3417,0.0773
2,46,-68.03,1.3500,0.0686
2,32,-67.27,1.3418,0.0774
2,25,-66.94,1.3419,0.0774
2,50,-66.11,1.3418,0.0773
2,33,-65.15,1.3420,0.0774
2,41,-68.30,1.3419,0.0774
2,34,-67.94,1.3419,0.0774
2,7,-67.37,1.3420,0.0774
2,29,-67.39,1.3420,0.0774
2,39,-68.25,1.3420,0.0774
2,10,-61.01,1.3507,0.0691
2,15,-67.21,1.3420,0.0774
2,45,-66.88,1.3420,0.0774
2,21,-66.94,1.3503,0.0684
2,4,-66.80,1.3420,0.0774
2,6,-65.93,1.3419,0.0773
2,16,-67.40,1.3420,0.0774
2,31,-67.79,1.3421,0.0774
2,44,-67.14,1.3420,0.0773
2,18,-68.13,1.3504,0.0687
2,3,-65.98,1.3420,0.0773
2,40,-67.99,1.3421,0.0774
2,43,-67.15,1.3507,0.0688
2,11,-67.11,1.3507,0.0688
2,35,-67.57,1.3507,0.0688
2,13,-65.40,1.3424,0.0774
2,17,-67.08,1.3507,0.0687
2,14,-67.72,1.3425,0.0774
2,30,-65.90,1.3428,0.0774
2,23,-67.45,1.3512,0.0688
2,22,-66.61,1.3513,0.0688
2,36,-66.80,1.3514,0.0688
2,47,-67.23,1.3513,0.0685
2,27,-66.85,1.3515,0.0687
2,38,-67.31,1.3515,0.0687
3,20,-66.07,1.3492,0.0689
3,26,-66.87,1.3495,0.0691
3,48,-67.35,1.3497,0.0688
