SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,10,-54.33,0.3482,0.0074
1,28,-56.01,0.4058,0.0046
1,17,-56.80,0.4067,0.0005
1,22,-64.20,0.7519,0.0039
1,48,-65.48,0.8314,0.0020
1,43,-65.47,0.8440,0.0013
1,35,-66.50,0.9143,0.0226
1,40,-66.65,0.9094,0.0016
1,29,-67.13,0.9430,0.0796
1,44,-66.06,0.9854,0.0350
1,27,-67.75,0.9769,0.0596
1,20,-68.55,1.0222,0.0017
1,30,-69.21,1.0657,0.0713
1,23,-74.47,1.0448,0.1746
1,42,-69.98,1.1000,0.0020
1,11,-69.12,1.1088,0.0670
1,33,-71.90,1.1271,0.1348
1,46,-68.82,1.2123,0.0185
1,50,-66.78,1.2285,0.0005
1,19,-71.89,1.2793,0.0889
1,37,-73.24,1.4376,0.0237
1,24,-82.27,1.4019,0.1718
1,13,-75.69,1.4385,0.1133
1,39,-71.77,1.4493,0.0762
1,7,-75.61,1.4783,0.0805
1,25,-81.41,1.5652,0.1638
1,4,-84.19,1.5927,0.1476
1,21,-85.21,1.6013,0.1397
1,36,-77.34,1.6277,0.0932
1,9,-90.83,1.6517,0.0001
1,8,-79.42,1.6829,0.1065
1,32,-74.74,1.7141,0.0510
1,18,-78.57,1.7118,0.0542
1,41,-76.90,1.7751,0.0472
1,15,-78.96,1.8692,0.1908
1,51,-79.94,1.9595,0.0447
1,47,-82.19,1.9693,0.0314
1,6,-80.59,1.9605,0.1523
1,3,-77.65,2.0596,0.0619
1,12,-82.78,2.1274,0.1725
1,5,-88.38,2.2409,0.0000
1,49,-82.24,2.1844,0.1817
1,26,-81.70,2.1961,0.0561
1,45,-81.37,2.2671,0.0232
1,31,-86.57,2.2621,0.0476
1,38,-87.40,2.3512,0.0200
1,16,-86.13,2.4809,0.0324
1,14,-84.74,2.5250,0.1408
1,2,-92.52,2.5208,0.0803
1,34,-88.01,2.5665,0.0123
2,5,-55.50,0.4529,0.0026
2,15,-63.16,0.6706,0.0490
2,47,-64.44,0.7690,0.0086
2,3,-65.28,0.7780,0.0449
2,38,-67.13,0.8892,0.0121
2,4,-68.41,0.9448,0.0025
2,9,-70.86,1.1183,0.0071
2,19,-72.80,1.3227,0.0570
2,50,-75.76,1.5776,0.1404
2,44,-73.12,1.5964,0.0612
2,27,-73.83,1.6344,0.0741
2,46,-78.49,1.6479,0.2061
2,24,-77.11,1.6691,0.1093
2,48,-71.43,1.7886,0.0891
2,41,-76.10,1.8253,0.0711
2,21,-84.67,1.8822,0.1631
2,7,-77.75,1.9183,0.1408
2,30,-82.71,1.9318,0.1457
2,25,-82.64,2.0488,0.1530
2,39,-78.14,2.0592,0.1374
2,29,-82.83,2.2548,0.0229
2,35,-84.37,2.2712,0.1520
2,51,-84.92,2.3289,0.0804
2,17,-95.75,2.4218,0.1328
2,11,-87.33,2.5162,0.1235
2,1,-88.51,2.5848,0.0586
2,12,-86.47,2.5744,0.0618
2,33,-85.92,2.7122,0.0859
2,10,-90.59,2.7606,0.2444
2,28,-88.24,2.8102,0.1535
2,42,-90.37,2.8120,0.1757
2,22,-91.02,2.9958,0.1736
2,36,-91.24,3.1286,0.2004
2,43,-91.44,3.2722,0.0704
2,37,-96.37,3.2941,0.1840
2,40,-93.44,3.3523,0.1654
2,31,-94.36,3.3548,0.1630
2,6,-96.22,3.4649,0.2306
2,20,-93.50,3.4953,0.2139
2,13,-95.16,3.5005,0.1735
2,32,-92.79,3.5617,0.1346
2,23,-97.91,3.6061,0.1601
2,16,-101.70,3.7106,0.2050
2,8,-98.93,3.7280,0.2159
2,14,-100.28,3.9291,0.2524
2,18,-102.12,4.2071,0.2429
2,49,-106.20,4.5821,0.3056
2,26,-107.45,4.7160,0.2715
2,45,-106.72,4.7720,0.3084
2,34,-108.95,5.0805,0.3120
3,38,-54.00,0.3126,0.0648
3,5,-56.58,0.4227,0.0058
3,15,-62.48,0.6224,0.0920
3,2,-61.95,0.7780,0.0457
3,19,-64.59,0.7873,0.0725
3,4,-65.07,0.8049,0.0072
3,47,-67.13,0.9065,0.1314
3,24,-66.61,0.9475,0.0071
3,46,-66.49,0.9817,0.1064
3,41,-65.79,1.0478,0.0770
3,44,-71.83,1.1443,0.0871
3,9,-72.04,1.1913,0.0145
3,39,-73.56,1.3030,0.0478
3,27,-71.96,1.3250,0.0649
3,50,-75.19,1.4673,0.1148
3,48,-72.11,1.4721,0.0436
3,51,-71.83,1.5585,0.0860
3,30,-80.04,1.7804,0.3049
3,7,-81.36,1.9453,0.1254
3,21,-76.81,1.9734,0.0672
3,1,-80.81,2.0596,0.1732
3,35,-82.13,2.0593,0.1470
3,29,-83.47,2.0645,0.1172
3,17,-77.92,2.0771,0.1587
3,25,-83.98,2.1108,0.1785
3,42,-80.60,2.1152,0.1934
3,10,-82.46,2.2535,0.1806
3,28,-83.65,2.2712,0.1060
3,11,-85.71,2.3628,0.1845
3,33,-87.67,2.5490,0.1657
3,31,-89.52,2.5800,0.1886
3,22,-88.54,2.6361,0.1494
3,6,-90.43,2.7086,0.1750
3,12,-88.75,2.7390,0.1992
3,40,-85.91,2.7833,0.1679
3,32,-90.74,2.8384,0.1445
3,43,-90.31,2.8675,0.1854
3,20,-91.72,2.9406,0.1837
3,8,-88.07,2.9958,0.1356
3,36,-93.60,3.0385,0.1680
3,37,-90.70,3.0941,0.1188
3,23,-95.70,3.0975,0.2208
3,14,-90.25,3.1582,0.1703
3,13,-92.91,3.2569,0.1647
3,16,-97.37,3.7164,0.1702
3,18,-95.62,3.7553,0.2286
3,49,-106.18,4.2057,0.2783
3,26,-101.16,4.2109,0.2210
3,45,-106.76,4.2841,0.2578
3,34,-104.89,4.5603,0.2688
4,15,-56.11,0.3168,0.0000
4,47,-53.41,0.3113,0.0041
4,9,-56.63,0.4211,0.0040
4,19,-60.49,0.5767,0.0098
4,5,-65.92,0.6236,0.0000
4,27,-63.71,0.7231,0.0117
4,44,-64.07,0.7385,0.0135
4,50,-62.90,0.7050,0.0048
4,3,-67.82,0.8049,0.0000
4,48,-66.05,0.8608,0.0069
4,2,-62.33,0.9448,0.0026
4,46,-67.73,0.9931,0.0143
4,30,-66.21,1.0572,0.0679
4,38,-73.93,1.0759,0.1547
4,24,-77.27,1.1228,0.1726
4,7,-67.11,1.1653,0.0035
4,21,-79.56,1.1739,0.2078
4,25,-78.76,1.3130,0.2053
4,29,-73.34,1.3630,0.0600
4,35,-70.81,1.3815,0.0219
4,41,-72.57,1.4744,0.0526
4,17,-82.45,1.4772,0.1513
4,39,-77.21,1.5252,0.0000
4,1,-83.18,1.5927,0.1640
4,11,-75.98,1.6435,0.0511
4,33,-77.65,1.8215,0.1042
4,10,-76.12,1.8538,0.0400
4,28,-73.12,1.9125,0.0560
4,51,-84.36,1.9161,0.1437
4,12,-80.25,1.9626,0.0017
4,22,-77.05,2.0676,0.0168
4,42,-80.10,2.0717,0.0431
4,36,-90.49,2.2842,0.1338
4,43,-85.36,2.3285,0.1351
4,37,-83.97,2.4083,0.1804
4,40,-89.54,2.4584,0.1525
4,13,-93.25,2.5794,0.1312
4,20,-84.41,2.5936,0.1374
4,23,-89.70,2.7029,0.0279
4,32,-90.08,2.8420,0.1226
4,6,-84.80,2.8835,0.0716
4,31,-88.85,2.8555,0.1336
4,16,-93.08,2.9895,0.0130
4,8,-90.14,3.0015,0.0264
4,18,-96.78,3.2660,0.1852
4,14,-96.51,3.3642,0.1926
4,49,-97.44,3.6462,0.1599
4,26,-100.03,3.8066,0.1546
4,45,-98.36,3.8430,0.1469
4,34,-101.79,4.1559,0.3114
5,15,-55.97,0.4020,0.0057
5,3,-56.55,0.4227,0.0057
5,2,-57.29,0.4529,0.0029
5,47,-62.57,0.6000,0.0006
5,38,-64.51,0.6041,0.0000
5,4,-59.95,0.6236,0.0003
5,19,-66.78,0.9085,0.0022
5,9,-73.02,0.9390,0.1799
5,44,-69.17,1.2225,0.0291
5,46,-70.23,1.2304,0.0195
5,24,-79.48,1.2233,0.1847
5,27,-70.86,1.3071,0.0439
5,50,-73.20,1.3240,0.1149
5,41,-74.31,1.4253,0.0018
5,48,-77.27,1.4540,0.0000
5,39,-75.07,1.6295,0.0731
5,30,-80.19,1.6771,0.0000
5,21,-79.06,1.8538,0.0339
5,7,-80.82,1.7505,0.1809
5,25,-79.60,1.9958,0.0337
5,51,-79.41,2.0080,0.0408
5,29,-81.02,1.9851,0.1829
5,35,-79.65,1.9987,0.0107
5,17,-84.32,2.1799,0.0163
5,1,-80.32,2.2341,0.0190
5,11,-85.59,2.2664,0.0343
5,10,-81.18,2.3684,0.1616
5,42,-82.85,2.3768,0.1801
5,28,-88.43,2.4028,0.0433
5,33,-85.01,2.5134,0.0618
5,12,-79.68,2.4976,0.1477
5,22,-85.51,2.6610,0.1571
5,36,-94.25,2.9589,0.0070
5,43,-100.36,2.9054,0.2448
5,31,-91.52,2.9316,0.1280
5,40,-91.98,2.9338,0.2229
5,37,-91.07,3.0312,0.1441
