SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,31,-100.36,4.0621,0.1756
1,18,-100.70,4.0640,0.1740
1,43,-102.46,4.0645,0.1715
1,6,-98.91,4.0646,0.1810
1,20,-98.66,4.0646,0.1808
1,46,-102.82,4.0676,0.1622
1,2,-102.80,4.0678,0.1622
1,47,-102.49,4.0686,0.1734
1,17,-101.30,4.0658,0.1817
1,34,-98.84,4.0664,0.1709
1,41,-99.06,4.0665,0.1708
1,5,-100.97,4.0668,0.1712
1,48,-100.13,4.0669,0.1741
1,50,-100.25,4.0666,0.1705
1,19,-101.49,4.0662,0.1761
1,25,-101.18,4.0663,0.1759
1,40,-101.51,4.0664,0.1818
1,14,-101.39,4.0666,0.1764
1,7,-99.39,4.0674,0.1706
1,3,-99.87,4.0678,0.1739
1,32,-100.99,4.0671,0.1759
1,9,-101.23,4.0674,0.1705
1,26,-102.45,4.0679,0.1741
1,24,-99.30,4.0678,0.1710
1,37,-101.67,4.0705,0.1730
1,33,-100.58,4.0674,0.1705
1,49,-100.43,4.0676,0.1705
1,13,-100.73,4.0676,0.1811
1,36,-98.68,4.0679,0.1708
1,12,-101.08,4.0676,0.1813
1,28,-101.26,4.0674,0.1759
1,44,-100.51,4.0677,0.1705
1,4,-99.11,4.0679,0.1707
1,30,-98.75,4.0681,0.1707
1,45,-102.74,4.0710,0.1798
1,16,-101.17,4.0681,0.1704
1,11,-98.98,4.0690,0.1709
1,38,-101.29,4.0687,0.1816
1,23,-101.44,4.0684,0.1764
1,1,-101.45,4.0688,0.1762
1,39,-101.27,4.0692,0.1814
1,22,-101.47,4.0699,0.1902
1,27,-102.40,4.0708,0.1738
1,29,-99.40,4.0708,0.1705
1,21,-99.21,4.0712,0.1647
1,35,-99.97,4.0719,0.1714
1,10,-101.25,4.0709,0.1703
1,15,-98.96,4.0722,0.1744
1,42,-100.83,4.0733,0.1704
1,8,-101.13,4.0730,0.1702
2,31,-100.27,4.0628,0.1810
2,18,-104.63,4.0648,0.1969
2,43,-104.40,4.0653,0.1971
2,6,-100.77,4.0653,0.1980
2,20,-101.51,4.0654,0.1979
2,46,-104.66,4.0647,0.1926
2,2,-104.91,4.0648,0.1927
2,47,-105.51,4.0656,0.1922
2,17,-100.61,4.0665,0.1810
2,34,-101.96,4.0671,0.1976
2,41,-101.09,4.0673,0.1978
2,5,-103.28,4.0676,0.1972
2,48,-103.52,4.0677,0.1970
2,50,-100.22,4.0673,0.1981
2,19,-102.85,4.0669,0.1815
2,25,-101.62,4.0670,0.1813
2,40,-101.20,4.0671,0.1811
2,14,-105.32,4.0673,0.1999
2,7,-100.83,4.0681,0.1803
2,3,-103.38,4.0686,0.1968
2,32,-101.75,4.0678,0.1813
2,9,-100.27,4.0681,0.1807
2,26,-103.26,4.0687,0.1970
2,24,-102.56,4.0685,0.1797
2,37,-107.68,4.0676,0.2000
2,33,-100.24,4.0682,0.1806
2,49,-100.20,4.0683,0.1806
2,13,-100.35,4.0683,0.1806
2,36,-101.85,4.0687,0.1975
2,12,-100.49,4.0683,0.1808
2,28,-102.15,4.0681,0.1814
2,44,-100.25,4.0684,0.1981
2,4,-100.91,4.0686,0.1978
2,30,-101.33,4.0688,0.1977
