SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,17,-84.20,2.7122,0.1821
1,25,-83.31,2.7127,0.1817
1,49,-83.92,2.7127,0.1820
1,42,-83.80,2.7128,0.1819
1,30,-83.79,2.7128,0.1821
1,16,-82.84,2.7129,0.1814
1,4,-83.10,2.7129,0.1815
1,12,-83.96,2.7130,0.1819
1,10,-83.81,2.7130,0.1817
1,50,-83.74,2.7131,0.1818
1,11,-84.30,2.7132,0.1820
1,32,-83.89,2.7132,0.1820
1,8,-83.03,2.7133,0.1814
1,47,-83.99,2.7133,0.1817
1,43,-83.35,2.7133,0.1817
1,9,-82.87,2.7134,0.1813
1,39,-84.17,2.7133,0.1820
1,5,-83.94,2.7134,0.1820
1,13,-83.99,2.7135,0.1820
1,7,-83.85,2.7135,0.1820
1,29,-83.08,2.7090,0.1868
1,45,-83.64,2.7090,0.1867
1,40,-84.14,2.7135,0.1820
1,23,-84.14,2.7135,0.1817
1,38,-82.76,2.7136,0.1814
1,19,-84.19,2.7135,0.1819
1,15,-84.41,2.7135,0.1819
1,2,-82.95,2.7136,0.1815
1,35,-84.19,2.7135,0.1820
1,31,-82.57,2.7136,0.1814
1,26,-83.49,2.7136,0.1814
1,46,-84.08,2.7135,0.1820
1,3,-82.88,2.7091,0.1866
1,21,-82.02,2.7091,0.1866
1,24,-84.05,2.7136,0.1816
1,41,-84.38,2.7136,0.1820
1,22,-83.95,2.7137,0.1818
1,36,-83.38,2.7137,0.1815
1,44,-82.83,2.7138,0.1815
1,28,-83.89,2.7137,0.1820
1,20,-82.91,2.7139,0.1815
1,48,-83.09,2.7094,0.1869
1,34,-82.85,2.7140,0.1814
1,1,-82.77,2.7095,0.1869
1,6,-82.29,2.7097,0.1866
1,37,-82.25,2.7097,0.1866
1,27,-84.37,2.7143,0.1816
1,14,-84.18,2.7144,0.1817
1,18,-84.11,2.7144,0.1819
1,33,-84.19,2.7144,0.1819
2,17,-83.20,2.7089,0.1534
2,25,-83.08,2.7093,0.1545
2,49,-82.63,2.7098,0.1529
2,42,-82.70,2.7098,0.1530
2,30,-83.41,2.7094,0.1534
2,16,-82.25,2.7094,0.1544
2,4,-82.92,2.7095,0.1545
2,12,-82.25,2.7100,0.1530
2,10,-82.55,2.7100,0.1529
2,50,-82.43,2.7101,0.1530
2,11,-82.91,2.7098,0.1534
2,32,-82.57,2.7102,0.1529
2,8,-82.27,2.7098,0.1544
2,47,-82.42,2.7103,0.1529
2,43,-83.06,2.7103,0.1541
2,9,-83.11,2.7148,0.1494
2,39,-83.05,2.7100,0.1534
2,5,-82.43,2.7104,0.1529
2,13,-82.75,2.7105,0.1529
2,7,-82.74,2.7101,0.1534
2,29,-81.64,2.7102,0.1548
2,45,-82.04,2.7102,0.1547
2,40,-82.67,2.7101,0.1533
2,23,-82.35,2.7105,0.1542
2,38,-82.21,2.7101,0.1544
2,19,-82.46,2.7106,0.1531
2,15,-82.77,2.7106,0.1531
2,2,-83.16,2.7101,0.1545
2,35,-82.74,2.7106,0.1529
2,31,-82.26,2.7102,0.1544
2,26,-83.17,2.7102,0.1544
2,46,-83.01,2.7102,0.1534
2,3,-82.20,2.7102,0.1548
2,21,-80.71,2.7102,0.1534
2,24,-83.43,2.7106,0.1541
2,41,-81.12,2.7102,0.1534
2,22,-81.79,2.7107,0.1530
2,36,-82.99,2.7103,0.1545
2,44,-83.02,2.7103,0.1545
2,28,-81.77,2.7104,0.1534
2,20,-82.99,2.7104,0.1545
2,48,-84.22,2.7106,0.1552
2,34,-83.00,2.7106,0.1544
2,1,-84.00,2.7107,0.1551
2,6,-81.85,2.7108,0.1534
2,37,-81.08,2.7108,0.1534
2,27,-82.45,2.7112,0.1541
2,14,-82.07,2.7114,0.1542
2,18,-81.67,2.7115,0.1531
2,33,-81.41,2.7115,0.1531
3,17,-83.03,2.7082,0.1553
3,25,-82.17,2.7138,0.1496
3,49,-82.13,2.7087,0.1553
3,42,-83.08,2.7140,0.1497
3,30,-82.92,2.7088,0.1553
3,16,-81.78,2.7140,0.1495
3,4,-82.16,2.7140,0.1496
3,12,-82.71,2.7089,0.1552
3,10,-82.95,2.7142,0.1497
3,50,-82.93,2.7090,0.1550
3,11,-82.74,2.7091,0.1553
3,32,-82.17,2.7091,0.1553
3,8,-82.02,2.7144,0.1495
3,47,-83.11,2.7144,0.1497
3,43,-82.15,2.7144,0.1497
3,9,-82.62,2.7145,0.1494
3,39,-82.67,2.7093,0.1553
3,5,-82.22,2.7094,0.1553
3,13,-82.38,2.7094,0.1553
3,7,-82.78,2.7094,0.1553
3,29,-80.68,2.7094,0.1556
3,45,-82.84,2.7094,0.1555
3,40,-82.48,2.7094,0.1553
3,23,-82.96,2.7147,0.1497
3,38,-82.06,2.7147,0.1495
3,19,-82.63,2.7095,0.1550
3,15,-82.37,2.7095,0.1550
3,2,-82.46,2.7147,0.1496
3,35,-82.59,2.7095,0.1553
3,31,-81.77,2.7147,0.1495
3,26,-82.00,2.7148,0.1494
3,46,-82.73,2.7095,0.1553
3,3,-83.35,2.7147,0.1502
3,21,-83.13,2.7095,0.1554
3,24,-82.59,2.7148,0.1497
3,41,-82.63,2.7095,0.1553
3,22,-83.05,2.7148,0.1497
3,36,-83.03,2.7149,0.1496
3,44,-82.85,2.7149,0.1496
3,28,-82.75,2.7097,0.1553
3,20,-82.73,2.7150,0.1496
3,48,-81.84,2.7144,0.1511
3,34,-82.28,2.7151,0.1495
3,1,-81.65,2.7099,0.1557
3,6,-83.47,2.7101,0.1554
3,37,-82.76,2.7101,0.1554
3,27,-83.04,2.7154,0.1497
3,14,-82.73,2.7103,0.1550
3,18,-83.05,2.7104,0.1550
3,33,-83.09,2.7104,0.1550
4,17,-82.33,2.7064,0.1849
4,25,-83.32,2.7118,0.1797
4,49,-82.57,2.7069,0.1848
4,42,-82.70,2.7117,0.1800
4,30,-82.72,2.7070,0.1849
4,16,-82.84,2.7070,0.1845
4,4,-83.41,2.7120,0.1796
4,12,-82.96,2.7119,0.1800
4,10,-83.12,2.7119,0.1799
4,50,-82.90,2.7120,0.1800
4,11,-82.76,2.7073,0.1849
4,32,-82.03,2.7074,0.1849
4,8,-82.74,2.7074,0.1845
4,47,-82.97,2.7122,0.1799
4,43,-83.21,2.7122,0.1799
4,9,-82.98,2.7074,0.1844
4,39,-82.93,2.7075,0.1849
4,5,-81.97,2.7076,0.1848
4,13,-82.04,2.7076,0.1848
4,7,-82.77,2.7076,0.1849
4,29,-83.77,2.7126,0.1775
4,45,-83.44,2.7124,0.1777
4,40,-82.56,2.7077,0.1849
4,23,-82.85,2.7124,0.1799
4,38,-83.49,2.7077,0.1845
4,19,-82.04,2.7077,0.1848
4,15,-82.03,2.7077,0.1848
4,2,-83.48,2.7126,0.1796
4,35,-82.35,2.7077,0.1849
4,31,-83.07,2.7077,0.1845
4,26,-82.73,2.7077,0.1845
4,46,-82.89,2.7077,0.1849
4,3,-83.58,2.7124,0.1777
4,21,-84.53,2.7077,0.1849
4,24,-83.22,2.7125,0.1799
4,41,-83.72,2.7078,0.1849
4,22,-82.76,2.7125,0.1800
4,36,-83.36,2.7126,0.1798
4,44,-83.75,2.7128,0.1796
4,28,-83.00,2.7079,0.1849
4,20,-83.75,2.7129,0.1796
4,48,-82.55,2.7081,0.1826
4,34,-83.31,2.7081,0.1845
4,1,-83.01,2.7082,0.1825
4,6,-83.69,2.7130,0.1803
4,37,-83.62,2.7084,0.1850
4,27,-82.98,2.7131,0.1799
4,14,-82.60,2.7133,0.1800
4,18,-82.38,2.7086,0.1848
4,33,-82.77,2.7086,0.1848
5,17,-82.32,2.7076,0.1543
5,25,-82.41,2.7126,0.1764
5,49,-82.14,2.7080,0.1542
5,42,-82.63,2.7081,0.1542
5,30,-82.35,2.7081,0.1543
5,16,-81.77,2.7128,0.1765
5,4,-82.48,2.7128,0.1764
5,12,-82.20,2.7083,0.1542
5,10,-82.58,2.7131,0.1492
5,50,-83.58,2.7084,0.1542
5,11,-82.29,2.7085,0.1543
5,32,-82.53,2.7085,0.1788
5,8,-82.32,2.7132,0.1765
5,47,-82.38,2.7134,0.1492
5,43,-82.02,2.7134,0.1492
5,9,-80.86,2.7085,0.1538
5,39,-82.29,2.7087,0.1543
5,5,-82.25,2.7087,0.1543
5,13,-82.41,2.7088,0.1543
5,7,-82.14,2.7088,0.1543
5,29,-83.18,2.7089,0.1545
