SRC_INDEX,RX_INDEX,CH_GAIN,CH_DELAY,SPREAD
1,46,-76.01,2.0143,0.0977
1,22,-74.84,2.0144,0.0974
1,15,-74.72,2.0143,0.0978
1,43,-76.05,2.0146,0.0976
1,23,-74.10,2.0241,0.0882
1,6,-74.95,2.0149,0.0974
1,14,-77.37,2.0147,0.0981
1,13,-74.59,2.0241,0.0881
1,1,-76.18,2.0156,0.0962
1,8,-73.71,2.0243,0.0881
1,40,-75.42,2.0151,0.0974
1,47,-73.81,2.0150,0.0980
1,26,-74.88,2.0151,0.0975
1,18,-74.86,2.0152,0.0974
1,32,-71.88,2.0158,0.0959
1,44,-75.80,2.0153,0.0968
1,34,-75.45,2.0152,0.0974
1,25,-76.55,2.0152,0.0975
1,17,-75.05,2.0151,0.0978
1,35,-74.22,2.0153,0.0973
1,19,-74.74,2.0153,0.0974
1,20,-77.43,2.0151,0.0981
1,3,-75.11,2.0156,0.0966
1,28,-75.11,2.0154,0.0974
1,42,-74.09,2.0154,0.0973
1,9,-74.16,2.0154,0.0973
1,49,-74.14,2.0154,0.0973
1,2,-75.87,2.0154,0.0975
1,7,-76.20,2.0154,0.0976
1,24,-75.63,2.0154,0.0975
1,21,-74.97,2.0246,0.0879
1,31,-75.46,2.0160,0.0963
1,39,-70.95,2.0247,0.0878
1,5,-75.39,2.0160,0.0965
1,36,-74.19,2.0156,0.0968
1,12,-76.15,2.0158,0.0968
1,27,-73.95,2.0249,0.0881
1,16,-75.72,2.0157,0.0975
1,11,-74.29,2.0249,0.0882
1,10,-75.94,2.0158,0.0975
1,33,-72.43,2.0251,0.0877
1,48,-75.64,2.0161,0.0967
1,45,-75.37,2.0158,0.0978
1,29,-77.02,2.0157,0.1237
1,41,-76.14,2.0159,0.0975
1,50,-76.50,2.0161,0.0976
1,4,-72.86,2.0254,0.0878
1,37,-76.27,2.0162,0.0975
1,30,-74.67,2.0163,0.0974
1,38,-75.51,2.0166,0.0965
2,46,-71.95,2.0146,0.1213
2,22,-77.16,2.0147,0.1214
2,15,-74.34,2.0143,0.1215
2,43,-73.06,2.0149,0.1213
2,23,-74.89,2.0237,0.1129
2,6,-77.90,2.0152,0.1213
2,14,-74.61,2.0147,0.1213
2,13,-73.69,2.0237,0.0896
2,1,-71.62,2.0160,0.0970
2,8,-73.95,2.0239,0.1129
2,40,-77.70,2.0155,0.1213
2,47,-74.12,2.0150,0.1213
2,26,-77.19,2.0155,0.1213
2,18,-77.60,2.0155,0.1213
2,32,-70.48,2.0162,0.0969
2,44,-71.26,2.0240,0.0892
2,34,-77.94,2.0155,0.1213
2,25,-76.96,2.0155,0.1213
2,17,-73.74,2.0154,0.1211
2,35,-75.95,2.0241,0.1129
2,19,-77.54,2.0157,0.1213
2,20,-74.00,2.0152,0.0993
2,3,-70.99,2.0164,0.0970
2,28,-77.57,2.0157,0.1213
2,42,-75.14,2.0241,0.1129
2,9,-75.64,2.0241,0.1129
2,49,-75.57,2.0241,0.1129
2,2,-76.71,2.0157,0.1212
2,7,-73.51,2.0157,0.1212
2,24,-77.05,2.0157,0.1212
2,21,-73.40,2.0242,0.1130
